anio,mes,fecha_infraccion,dpa_provincia,provincia,tipo_muerte,sexo,edad,canton
2025,12,2025-12-31,17,PICHINCHA,FEMICIDIO,MUJER,30,QUITO
2025,12,2025-12-31,09,GUAYAS,ASESINATO,HOMBRE,25,GUAYAQUIL
2025,12,2025-12-31,09,GUAYAS,ASESINATO,HOMBRE,26,GUAYAQUIL
2025,12,2025-12-31,09,GUAYAS,ASESINATO,HOMBRE,21,EL EMPALME
2025,12,2025-12-31,09,GUAYAS,ASESINATO,HOMBRE,31,GUAYAQUIL
2025,12,2025-12-31,13,MANABÍ,ASESINATO,HOMBRE,50,OLMEDO
2025,12,2025-12-31,09,GUAYAS,ASESINATO,MUJER,18,GUAYAQUIL
2025,12,2025-12-31,12,LOS RÍOS,ASESINATO,HOMBRE,30,QUINSALOMA
2025,12,2025-12-31,17,PICHINCHA,ASESINATO,HOMBRE,27,RUMIÑAHUI
2025,12,2025-12-31,21,SUCUMBÍOS,ASESINATO,HOMBRE,38,SHUSHUFINDI
2025,12,2025-12-31,09,GUAYAS,ASESINATO,HOMBRE,38,GUAYAQUIL
2025,12,2025-12-31,09,GUAYAS,ASESINATO,HOMBRE,50,GUAYAQUIL
2025,12,2025-12-31,09,GUAYAS,ASESINATO,HOMBRE,18,GUAYAQUIL
2025,12,2025-12-31,12,LOS RÍOS,ASESINATO,HOMBRE,24,URDANETA
2025,12,2025-12-31,09,GUAYAS,ASESINATO,HOMBRE,36,GUAYAQUIL
2025,12,2025-12-31,12,LOS RÍOS,ASESINATO,HOMBRE,29,QUEVEDO
2025,12,2025-12-31,05,COTOPAXI,HOMICIDIO,HOMBRE,35,LATACUNGA
2025,12,2025-12-31,12,LOS RÍOS,ASESINATO,HOMBRE,31,QUEVEDO
2025,12,2025-12-31,12,LOS RÍOS,ASESINATO,HOMBRE,28,QUEVEDO
2025,12,2025-12-31,13,MANABÍ,ASESINATO,HOMBRE,26,MANTA
2025,12,2025-12-31,13,MANABÍ,ASESINATO,HOMBRE,38,MANTA
2025,12,2025-12-31,13,MANABÍ,ASESINATO,HOMBRE,37,MANTA
2025,12,2025-12-31,13,MANABÍ,ASESINATO,HOMBRE,35,MANTA
2025,12,2025-12-31,13,MANABÍ,ASESINATO,HOMBRE,28,MANTA
2025,12,2025-12-31,13,MANABÍ,ASESINATO,MUJER,40,MANTA
2025,12,2025-12-31,13,MANABÍ,ASESINATO,HOMBRE,15,MANTA
2025,12,2025-12-31,13,MANABÍ,ASESINATO,MUJER,25,MANTA
2025,12,2025-12-31,12,LOS RÍOS,ASESINATO,HOMBRE,24,BABAHOYO
2025,12,2025-12-31,13,MANABÍ,ASESINATO,MUJER,9,MANTA
2025,12,2025-12-31,12,LOS RÍOS,ASESINATO,HOMBRE,30,BABAHOYO
2025,12,2025-12-31,09,GUAYAS,ASESINATO,HOMBRE,18,GUAYAQUIL
