dpa_provin,periodo,anio,trimestre,homicidios,homicidios_ASESINATO,homicidios_FEMICIDIO,homicidios_HOMICIDIO,homicidios_SICARIATO,poblacion,tasa_homicidios_100k
01,2018-Q1,2018,1,10,5,2,3,0,808420.0,1.2369807773187205
01,2018-Q2,2018,2,13,8,0,5,0,808420.0,1.6080750105143367
01,2018-Q3,2018,3,10,5,2,3,0,808420.0,1.2369807773187205
01,2018-Q4,2018,4,5,2,0,3,0,808420.0,0.6184903886593602
01,2019-Q1,2019,1,3,3,0,0,0,820239.0,0.3657470566505616
01,2019-Q2,2019,2,12,7,1,4,0,820239.0,1.4629882266022465
01,2019-Q3,2019,3,4,2,0,2,0,820239.0,0.4876627422007488
01,2019-Q4,2019,4,5,3,0,2,0,820239.0,0.609578427750936
01,2020-Q1,2020,1,10,7,0,3,0,825590.0,1.2112549812861106
01,2020-Q2,2020,2,7,1,2,4,0,825590.0,0.8478784869002773
01,2020-Q3,2020,3,6,2,1,3,0,825590.0,0.7267529887716663
01,2020-Q4,2020,4,10,5,1,4,0,825590.0,1.2112549812861106
01,2021-Q1,2021,1,41,36,2,3,0,825773.0,4.965044873106774
01,2021-Q2,2021,2,7,2,2,3,0,825773.0,0.8476905880914004
01,2021-Q3,2021,3,4,2,0,2,0,825773.0,0.48439462176651454
01,2021-Q4,2021,4,7,3,0,4,0,825773.0,0.8476905880914004
01,2022-Q1,2022,1,14,9,0,5,0,826246.0,1.6944106234704919
01,2022-Q2,2022,2,37,30,4,3,0,826246.0,4.478085219172014
01,2022-Q3,2022,3,11,9,1,1,0,826246.0,1.331322632726815
01,2022-Q4,2022,4,13,10,1,2,0,826246.0,1.5733812932225997
01,2023-Q1,2023,1,16,13,0,3,0,828172.0,1.9319658235245818
01,2023-Q2,2023,2,14,12,0,2,0,828172.0,1.690470095584009
01,2023-Q3,2023,3,17,9,0,8,0,828172.0,2.0527136874948684
01,2023-Q4,2023,4,11,8,1,2,0,828172.0,1.32822650367315
01,2024-Q1,2024,1,10,5,1,4,0,831220.0,1.20305093717668
01,2024-Q2,2024,2,38,33,1,3,1,831220.0,4.571593561271384
01,2024-Q3,2024,3,32,32,0,0,0,831220.0,3.8497629989653763
01,2024-Q4,2024,4,10,9,1,0,0,831220.0,1.20305093717668
01,2025-Q1,2025,1,8,4,1,3,0,834958.0,0.9581320258024955
01,2025-Q2,2025,2,5,4,1,0,0,834958.0,0.5988325161265596
01,2025-Q3,2025,3,7,6,1,0,0,834958.0,0.8383655225771836
01,2025-Q4,2025,4,19,15,0,2,2,834958.0,2.2755635612809266
01,2026-Q1,2026,1,12,9,0,2,1,839268.0,1.429817412316447
01,2026-Q2,2026,2,10,8,0,2,0,839268.0,1.191514510263706
02,2018-Q1,2018,1,4,4,0,0,0,209822.0,1.9063777868860272
02,2018-Q2,2018,2,2,1,1,0,0,209822.0,0.9531888934430136
02,2018-Q3,2018,3,3,3,0,0,0,209822.0,1.4297833401645204
02,2018-Q4,2018,4,3,3,0,0,0,209822.0,1.4297833401645204
02,2019-Q1,2019,1,1,1,0,0,0,209046.0,0.47836361375008374
02,2019-Q2,2019,2,0,0,0,0,0,209046.0,0.0
02,2019-Q3,2019,3,2,2,0,0,0,209046.0,0.9567272275001675
02,2019-Q4,2019,4,6,2,0,1,3,209046.0,2.8701816825005024
02,2020-Q1,2020,1,0,0,0,0,0,207926.0,0.0
02,2020-Q2,2020,2,3,1,2,0,0,207926.0,1.44282100362629
02,2020-Q3,2020,3,2,1,1,0,0,207926.0,0.9618806690841935
02,2020-Q4,2020,4,7,4,0,3,0,207926.0,3.3665823417946767
02,2021-Q1,2021,1,3,0,0,3,0,206608.0,1.4520250909935724
02,2021-Q2,2021,2,2,2,0,0,0,206608.0,0.9680167273290482
02,2021-Q3,2021,3,1,1,0,0,0,206608.0,0.4840083636645241
02,2021-Q4,2021,4,1,1,0,0,0,206608.0,0.4840083636645241
02,2022-Q1,2022,1,2,1,0,0,1,205544.0,0.9730276729070175
02,2022-Q2,2022,2,5,3,2,0,0,205544.0,2.4325691822675437
02,2022-Q3,2022,3,2,1,0,1,0,205544.0,0.9730276729070175
02,2022-Q4,2022,4,4,2,0,2,0,205544.0,1.946055345814035
02,2023-Q1,2023,1,4,2,2,0,0,204819.0,1.9529438186886958
02,2023-Q2,2023,2,6,5,0,1,0,204819.0,2.9294157280330437
02,2023-Q3,2023,3,5,4,1,0,0,204819.0,2.44117977336087
02,2023-Q4,2023,4,9,9,0,0,0,204819.0,4.394123592049565
02,2024-Q1,2024,1,8,8,0,0,0,204410.0,3.9137028521109536
