dpa_provin,PEA,Ocupados,Desocupados,Empleo_adecuado,Subempleo,periodo,etiqueta_periodo,tasa_desempleo,tasa_subempleo,tasa_empleo_adecuado
01,444633.5916,429991.4475,14642.1441,186388.7093,64693.1759,2024-Q2,2024-II,3.2931,14.5498,41.9196
02,72487.0466,72101.7661,385.2805,15038.6346,14204.9719,2024-Q2,2024-II,0.5315,19.5966,20.7467
03,121355.6371,117423.675,3931.9621,35370.6863,19899.2035,2024-Q2,2024-II,3.24,16.3974,29.1463
04,107452.6277,102739.9352,4712.6925,35314.6768,18921.1626,2024-Q2,2024-II,4.3858,17.6088,32.8653
05,248591.6314,244303.5981,4288.0333,69403.4087,47974.3557,2024-Q2,2024-II,1.7249,19.2985,27.9186
06,252463.4833,249216.7906,3246.6927,55801.5893,52223.3825,2024-Q2,2024-II,1.286,20.6855,22.1028
07,345062.5951,328397.8227,16664.7724,158293.1839,67601.6344,2024-Q2,2024-II,4.8295,19.5911,45.8738
08,301297.2305,274442.1361,26855.0944,80618.4821,71244.0402,2024-Q2,2024-II,8.9132,23.6458,26.7571
09,1904789.7522,1851585.7126,53204.0396,775509.6124,496413.9622,2024-Q2,2024-II,2.7932,26.0614,40.7137
10,172191.1803,161509.4402,10681.7401,49810.2747,33860.5186,2024-Q2,2024-II,6.2034,19.6645,28.9273
11,206395.3021,199705.2637,6690.0384,49912.0414,40355.1791,2024-Q2,2024-II,3.2414,19.5524,24.1827
12,313710.0286,308641.2078,5068.8208,115625.7194,67518.6678,2024-Q2,2024-II,1.6158,21.5226,36.8575
13,426773.7391,420525.992,6247.7471,121148.5481,131117.3639,2024-Q2,2024-II,1.4639,30.7229,28.3871
14,201224.2895,196404.7809,4819.5086,44714.2058,20783.1703,2024-Q2,2024-II,2.3951,10.3284,22.2211
15,219644.9094,218604.3698,1040.5396,19284.5414,59407.9134,2024-Q2,2024-II,0.4737,27.0473,8.7799
16,242039.8388,241133.7269,906.1119,24324.721,67054.7694,2024-Q2,2024-II,0.3744,27.704,10.0499
17,1451987.1105,1351550.5744,100436.5361,764773.5068,226678.2158,2024-Q2,2024-II,6.9172,15.6116,52.6708
18,348172.154,339800.7999,8371.3541,104919.2899,77906.3472,2024-Q2,2024-II,2.4044,22.3758,30.1343
19,73023.6235,70500.3075,2523.316,21417.4368,12903.2505,2024-Q2,2024-II,3.4555,17.67,29.3295
20,14224.6411,13791.0604,433.5807,7129.6537,968.5389,2024-Q2,2024-II,3.0481,6.8089,50.1219
21,151346.1652,142486.7622,8859.403,40279.0848,29637.0345,2024-Q2,2024-II,5.8537,19.5823,26.6139
22,375048.7998,369346.6268,5702.173,47046.4852,44917.2111,2024-Q2,2024-II,1.5204,11.9764,12.5441
23,305277.1807,302847.1983,2429.9824,107658.439,51810.4547,2024-Q2,2024-II,0.796,16.9716,35.2658
24,258994.5822,252954.6494,6039.9329,66735.8032,76562.3366,2024-Q2,2024-II,2.3321,29.5614,25.7673
