provincia,anio,poblacion,dpa_provin
Azuay,1990,536617.0,01
Bolívar,1990,171566.0,02
Cañar,1990,193313.0,03
Carchi,1990,162832.0,04
Cotopaxi,1990,304494.0,05
Chimborazo,1990,396849.0,06
El Oro,1990,438265.0,07
Esmeraldas,1990,358832.0,08
Guayas,1990,2476995.0,09
Imbabura,1990,296121.0,10
Loja,1990,418170.0,11
Los Ríos,1990,553101.0,12
Manabí,1990,1170128.0,13
Morona Santiago,1990,93465.0,14
Napo,1990,66883.0,15
Pastaza,1990,43378.0,16
Pichincha,1990,1631227.0,17
Tungurahua,1990,398867.0,18
Zamora,1990,67830.0,19
Galápagos,1990,10104.0,20
Sucumbíos,1990,77002.0,21
Orellana,1990,42814.0,22
Santo Domingo,1990,245297.0,23
Santa Elena,1990,179715.0,24
Azuay,1991,547159.0,01
Bolívar,1991,173963.0,02
Cañar,1991,196623.0,03
Carchi,1991,164778.0,04
Cotopaxi,1991,311000.0,05
Chimborazo,1991,403254.0,06
El Oro,1991,447999.0,07
Esmeraldas,1991,369212.0,08
Guayas,1991,2538418.0,09
Imbabura,1991,302418.0,10
Loja,1991,423495.0,11
Los Ríos,1991,564885.0,12
Manabí,1991,1189413.0,13
Morona Santiago,1991,96589.0,14
Napo,1991,68983.0,15
Pastaza,1991,44983.0,16
Pichincha,1991,1675809.0,17
Tungurahua,1991,406022.0,18
Zamora,1991,68553.0,19
Galápagos,1991,10682.0,20
Sucumbíos,1991,81289.0,21
Orellana,1991,46232.0,22
Santo Domingo,1991,252169.0,23
Santa Elena,1991,185147.0,24
Azuay,1992,556772.0,01
Bolívar,1992,176230.0,02
Cañar,1992,199454.0,03
Carchi,1992,166612.0,04
Cotopaxi,1992,317381.0,05
Chimborazo,1992,409502.0,06
El Oro,1992,457724.0,07
Esmeraldas,1992,379549.0,08
Guayas,1992,2598024.0,09
Imbabura,1992,308627.0,10
Loja,1992,428333.0,11
Los Ríos,1992,576286.0,12
Manabí,1992,1206153.0,13
Morona Santiago,1992,99658.0,14
Napo,1992,71095.0,15
Pastaza,1992,46621.0,16
